一;In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right. [1];floor,ceiling;As a primitive element, the key-word meaning is discarded, since it is too abstract to be of much help. Instead, the single horizontal stroke takes on the meaning of _floor _or _ceiling, _depending on its position: if it stands above another primitive, it means _ceiling; _if below, _floor._
貝;To remember the primitive elements that make up this kanji, an eye and animal legs, you might be tempted to think of it as a pictograph of a shellfish with its ridged shell at the top and two little legs sticking out of the bottom. But that might not help you recall later just how many ridges to put on the shell. Better to imagine a freakish shellfish with a single, gigantic eye roaming the beaches on its slender little legs, scaring the wits out of the sunbathers. [7];clam,shells,oyster;When used as a primitive, in addition to _shells, _the meanings _oyster_ and _clam_ will often come in handy.
頁;What we have to do here is turn a shellfish into a page of a book. The one at the top tells us that we only get a rather short book, in fact a book of only one page.;head;As a primitive, this kanji takes the unrelated meaning of a _head_ (preferably one detached from its body), derived from the character for _head_ (frame 1549).
乙;The kanji shown here actually represents the “second” position in the old Chinese zodiac, which the Japanese still use as an alternate way of enumeration, much the same way that English will revert to Roman numerals. Among its many other meanings are “pure,” “tasteful,” “quaint,” and--get this! --fish guts. Since it is a pictograph of a fishhook, it should not be hard to associate it with the key word. [1];fishhook,hook;We will take _fishhook_ and _hook_ as primitive meanings. The shape will rarely be quite the same as that of the kanji. When it appears at the bottom of another primitive, it is straightened out, almost as if the weight of the upper element had bent it out of shape: 肌. And when it appears to the right of another element, the short horizontal line that gets the shape started is omitted and it is stretched out and narrowed, all for reasons of space and aesthetics: 乚. Examples follow.
;;animal,legs;Although this primitive is not very common, it is useful to know, as the following examples will show. Conveniently, it is always drawn at the very bottom of any kanji in which it figures. The first stroke, the horizontal one, is detached from anything above it, but is necessary to distinguish **tool **from _animal_ _legs_. The sense of the element is a carpenter’s **tool**, which comes from its pictographic representation of a small table with legs (make them _animal_ _legs_ if you need a more graphic image), so that any element lying on top of it will come to be viewed as a **tool **in the hands of a carpenter. [3]
;;ten;This primitive has the look of _ten_, except that the left stroke is bent down toward the left. It indicates where your hands (your _ten_ fingers) fall when you let them droop: **by your side**.
工;The pictograph of an I beam, like the kind that is used in heavy construction work on buildings and bridges, gives us the character for craft in general. [3];craft,i beam,artificial;As a primitive element, the key word retains the meaning of _craft _and also takes on the related meanings of _I beam_ and _artificial_.
刀;Although this kanji no longer looks very much like a sword, it does have some resemblance to the handle of the sword. This is to our advantage, in that it helps us make a distinction between two primitive elements based on this kanji. [2];dagger,saber;In the form of the kanji, this primitive means a _dagger_. When it appears to the right of another element, it is commonly stretched out like this 刂 and takes the sense of a great and flashing _saber_, a meaning it gets from a character we shall learn later (frame 1801).
召;A sword or dagger posed over a mouth is how the character for “beckoning” is written. The related but less tame key word seduce was chosen because it seemed to fit better with the--how shall we put it?--Freudian implications of the kanji. (Observe if you will that it is not sure whether the long slender object is seducing the small round one or vice versa.) [5];seduce;The primitive meaning remains the same: _seduce_. Just be sure to associate it with a very concrete image.
;;fields,mouth,one;To prepare for following frame, we introduce here a somewhat rare primitive meaning **wealth**. It takes its meaning from the common image of the over**wealthy **as also being overfed. More specifically, the kanji shows us _one_ single _mouth_ devouring all the harvest of the _fields_, presumably while those who labor in them go hungry. Think of the phrase exactly as it is written when you draw the character, and the disposition of the elements is easy. [9]
丁;The picture here is of a street sign on a long pole: Hollywood and Vine, if you please, or any street that immediately conjures up the image of a street sign to you. [2];street,spike,nail;Used as a primitive, we change the meaning of the key word and take the shape to signify a _nail_ or a _spike_. Should it happen, on reviewing, that you find the pictographs get jumbled, then think of jerking a _street_ sign out of the ground and using it as a _nail_ to repair your garage roof.
子;This kanji is a pictograph of a child wrapped up in one of those handy cocoons that Japanese mothers fix to their backs to carry around young children who cannot get around by themselves. The first stroke is like a wee head popping out for air; the second shows the body and legs all wrapped up; and the final stroke shows the arms sticking out to cling to the mother’s neck. [3];child;As a primitive, the meaning of _child _is retained, though you might imagine a little older _child,_ able to run around and get into more mischief.
女;You have probably seen somewhere the form of a squatting woman drawn behind this character, with two legs at the bottom, two arms (the horizontal line) and the head poking out the top. A little farfetched, until you draw the character and feel the grace and flow of the three simple strokes. Remembering the kanji is easy; being able to write it beautifully is another thing. [3];woman;The primitive meaning is the same: _woman_.
母;Look closely at this kanji and you will find the outline of the kanji for woman in it, the second stroke of which has been expanded to make space for the two breasts that make her a mama. Likening this sound to a baby nursing at its mother’s breast has afforded some scholars of comparative linguistics a way to explain the presence of the same word across a wide range of language- groups. [5];breasts;As a primitive we shall add the meaning of _breasts_ in accord with the explanation given above. Take careful note of the fact that the form is altered slightly when this kanji serves as a primitive, the final two dots joining together to form a longer stroke. An example follows in the next frame.
兄;By now kanji like this one should “look like” something to you even though it is more of an “ideogram” than a “pictograph.” The large mouth on top and the human legs below almost jump off the page as a caricature of elder brother, the one with the big mouth (or if you prefer a kinder image, the one who “has the say” among all the children). [5];teenager,mouth,legs;As a primitive this character will take the meaning of _teenager_, in accord with the familiar image of the big _mouth_ and the gangling, clumsy _legs_.
小;The sense of little in this character is not the same as “a little bit.” That meaning comes in the next frame. Here little means “small” or “tiny.” The image is one of three little drops, the first of which (the one in the middle) is written larger so that the kanji has some shape to it. The point of writing it three times is to rub the point in: little, little, nothing but little. [3];;The primitive of the same shape keeps the same meaning. Written above a horizontal line, its form is slightly altered, the last two strokes turning inwards like this: _._
大;Here we have a simple pictograph of a person, taking up the space of an entire character and giving it the sense of large. It should not be too hard to locate the two legs and outstretched arms. [3];bernard,st,large,dog;As a primitive, we need a different meaning, since the element representing the human person will come up later. Therefore, this shape will become a _large_ _dog_ or, if you prefer, a _St._ _Bernard_ _dog_. In frame 253 we will explain why this choice was made.
夕;Just as the word evening adds a touch of formality or romanticism to the ordinary word “night,” so the kanji for evening takes the ordinary looking moon in the night sky and has a cloud pass over it (as we saw in the last frame). [3];;The primitive keeps the same meaning and connotation as the kanji.
厂;;;This primitive means precisely what it looks like: a steep **cliff**. You can almost see someone standing at the top looking down into the abyss below. [2]
石;With a mouth under a cliff, what else could we have here but the entrance to a secret cavern, before which a great stone has been rolled so that none may enter. Perhaps it is the hiding place where Ali Baba and his band of thieves have stored their treasures, in which case that magic word known to every school child who ever delighted over the tales of the Arabian Nights should be enough to push the stone aside. But take care--the cliff is steep, and one slip will send you tumbling down into the ravine below. [5];rocks,stones,stone;The _stone_ is a quite common primitive element, which is not restricted to great boulders but used of _stones_ or _rocks _of any size or shape.
肖;The word resemblance should suggest, among other things, a son’s resemblance to his father. A “chip off the old block” is the way we often put it, but the character is more simple. It speaks of a little bit of flesh. [7];fire,candle,resemblance,moon,spark;When used as a primitive, the sense of _resemblance_ is replaced by that of _spark_ or _candle_. (If you want an explanation: the kanji for _moon_ also carries a secondary sense of _fire_, which we omitted because we are keeping that meaning for other primitives.)
川;We have taken the image of a river stream over into English to describe things that fall down in straight lines, or ripple along in lines. All of this is more than evident in the kanji given here, a pictograph of a stream. [3];flood,stream;As a primitive, this character adds to the meaning of _stream_ the more vivid image of a _flood_. Note, however, that there are certain small changes in the writing of the element, depending on where it appears relative to other elements:
水;This character, which looks a bit like a snowflake, is actually a pictograph of water--not any particular body of water or movement of water, but simply the generic name for water. Should you have any difficulty remembering it, simply think of a walking stick being dropped vertically into the water, sending droplets out in all four directions. Then all you need to learn is how to write it in proper order. [4];;As a primitive, this character can keep its form, or it can be written with three drops to the left of another primitive, like this: 氵_._ This latter, as we will see, is far more common.
泉;Call to mind the image of a fresh, bubbling spring of water, and you will probably notice how the top of the spring you are thinking of, the part where the “bubbling” goes on, is all white. Happily, the white is just where it should be, at the top, and the water is at the bottom. [9];spring,little,water,drops;We will keep this image of a _spring_ when using this kanji as a primitive, but not without first drawing attention to a slight change that distinguishes the primitive from the kanji. The final 4 strokes (the element for _water_) are abbreviated to the three small _drops_ that we learned earlier as the kanji for _little, _giving us: .
土;I don’t like it any more than you do, but this kanji is not the pictograph it is trumped up to be: a mound of soil piled on the ground. All I can recommend is that you memorize it as it is. Anyway, it will be occurring with such frequency that you have almost no chance of forgetting it, even if you try. [3];ground,dirt,soil,land;As a primitive, the sense of _soil_ is extended to that of _ground_ because of its connection with the kanji for the same (frame 554). From there it also takes the added meanings of _dirt_ and _land_.
圭;Now I am going to do something unusual. The character in this frame is going to get one meaning and the primitive another, with no relation at all between the two. In time, I hope you will see how helpful this is.;ivy,ground;As a primitive, we shall use this character to mean _ivy_, that creepy vegetation that covers the surface of the _ground_ to form a sort of “second” _ground_ that can get somewhat tricky to walk on without tripping.
火;Just as sitting before a fire enlivens the imagination and lets you see almost anything you want to in the flames, this kanji is so simple it lets you see almost any sort of fire you want to see. It no longer makes a good pictograph, but I invite you to take a pencil and paper and play with the form--first writing it as shown below and then adding lines here and there--to see what you can come up with. Everything from matchbooks to cigarette lighters to volcanic eruptions to the destruction of Sodom and Gomorrah have been found here. No doubt you, too, will find something interesting to bend your memory around these four simple strokes. [4];fireplace,fire,hearth,flames cauldron cooking,oven fire,conflagration;To avoid confusion later on, it is best to keep to the meaning of a _fireplace_ (or _hearth_) or a raging _conflagration_ like a forest fire for this kanji’s primitive meaning. Another primitive element for _fire,_ based on this one, is written 灬 and will mean _flames, cauldron, cooking_ _fire, _or an _oven fire_.
里;That’s right--a ri. Don’t bother looking it up in your English dictionary; it’s a Japanese word for measuring distances. One ri is about 4 kilometers or 2.5 miles. The kanji depicts how the measure came to be used. Atop we see the rice field, and below the element for land. Those four sections you see in the rice field (and which we made mention of when first we introduced the character in frame 14) are actually measurements of land, much the same as farm-sections in the United States have given us the notion of a “country mile.” The land division based on the size of a rice field is called a ri. [7];computer,logic;To get a more concrete primitive meaning for this kanji, we shall refer to it as a _computer_, a meaning deriving from the kanji for _logic,_ which we will meet in Lesson 12.
冂;;wind;In addition to the basic meaning of **hood**, this shape can be used for a **glass canopy**, such as that used to serve “pheasant under glass.” Note its difference from the element for _wind_: the second stroke is hooked inwards here. To help remember this detail, think of the wind as blowing “out” and a **glass canopy **as keeping something “in.” Among the related images suggested by this primitive are: a monk’s** cowl**, a riding **hood**, a **helmet**, and an automobile **hood**. [2]
同;The primitives given are one and mouth under a hood. Take the key word to connote the sameness that characterizes the life in a community of monks. They all have the same habits, including the “habit” they wear on their backs. Here we see the monk’s cowl, drawn down over the eyes so that all you can see when you look at him is a mouth. But since monks also speak their prayers in common, it is but a short step to think of one mouth under a hood as the kanji for the sameness of monastic life. [6];monks;As a primitive, this kanji will mean _monks _dressed in a common habit.
宀;;;This extremely useful primitive element depicts the roof of a **house**. You can see the chimney at the top and the eaves on either side without much trouble. It is a “crown” element, which means that it is invariably set atop other things. Examples follow immediately. [3]
木;Here we see a pictograph of a tree, showing the main trunk in the long vertical stroke and the boughs in the long horizontal stroke. The final two strokes sweep down in both directions to indicate the roots. Although it may look similar at first sight to the kanji for water (frame 137), the order in which it is written is completely different and this affects its final appearance. [4];wood,pole,tree,wooden;As a primitive, this kanji can mean _tree_ or _wood_. When the last two strokes are detached from the trunk (), we shall change its meaning to _pole_, or _wooden_ _pole._
艹;;;We are not yet equipped with all the pieces necessary to learn the character for **flower**, so shall have to content ourselves here with the first three strokes, which represent the primitive of the same meaning. Concentrate on the actual “bloom” of the **flower**, and keep a particular flower in mind. Try a rose, a tulip, or a daisy, since none of them will have their own kanji. Think about it well, since once you have decided on your **flower** of choice, you will be using it in a rather large number of stories later on. [3]
莫;;flowers,st bernard,sun;The element shown here should be taken to represent a modern **graveyard**. Gone are the cobwebs and gnarled trees, the tilted headstones and dark, moonless nights that used to scare the wits out of our childhood imaginations. Instead, we see brightly colored _flowers_ placed before the tombstones, the _sun_ shining gloriously overhead, and a cuddly _St. Bernard _sitting at the gate keeping watch. [10]
兆;Here we have a pictograph of the back of a turtle, the two sloping vertical strokes representing the central ridge and the four short strokes the pattern. Think of reading turtle shells as a way to foretell the future, and in particular things that portend coming evils. [6];turtle,portent;When this character is used as a primitive in its full form, we keep the key- word sense of a _portent._ When it appears to the left in its abbreviated form (namely, the left half only, ⺦), we shall give it the pictographic sense of a _turtle._
犬;We know that the kanji for large takes on the meaning of the St. Bernard dog when used as a primitive. In this frame we finally see why. The drop added as a fourth and final stroke means that we have to do with a normal-sized dog, which, compared to the St. Bernard, is no more than a drop in the kennel. [4];a pack of wild dogs,chihuahua;As a primitive this character can take two meanings. In the form given here it will mean a very small dog (which we shall refer to as a _chihuahua _for convenience sake). When it takes the form 犭 to the left of a character, we shall give it the meaning of _a pack of wild dogs._
牛;Can you see the “doodle” of a cow that has just been run over by a steamroller? The small dot in the first stroke shows its head turned to one side, and the next two strokes, the four legs. [4];cow;As a primitive, the same sense of _cow_ is kept. Note only that when it is placed over another element, its tail is cut off, giving us . In this case, and when the element appears on the left, the stroke order is changed.
;;one umbrella;This compound primitive depicts a **meeting** as a massive gathering of people under _one umbrella._ The full kanji from which this derives will be introduced later in frame 814. The important thing here is to picture the scene just described and associate it with the word **meeting**. [3]
王;See what you can do to come up with a pictograph of a king’s scepter here that suits your own idea of what it should look like. You might even begin with the basic element for I beam and then try to fit the remaining third stroke in. [4];king,scepter,ball;As a primitive, this can mean either _king_ or _scepter, _but it will usually be taken to mean _ball, _as an abbreviation of the character in the next frame.
玉;Note the drop here in the king’s scepter, which is exactly what you would expect it to be: a precious jewel handed down from of old as a symbol of his wealth and power. [5];jewel,ball;As a primitive, we can use this to mean either _jewel_ or _ball. _When it appears anywhere other than on the left side of a kanji, it generally takes the same shape as here. On the left, it will be lacking the final stroke, making it the same as the character in the previous frame, .
主;“A man’s home is his castle,” goes the proverb from an age where it was the male who was lord of the household. Fundamentally, it means only that every one of us is a bit (or drop) of a king in our own environment. As for the positioning of the elements, if you take care to “read off” the primitives in this way, you won’t end up putting the drop down below, where it turns the kanji into a jewel. [5];candlestick;As a primitive element, we set the key word aside entirely and take it as a pictograph of a solid brass _candlestick _(with the drop representing the flame at the top).
金;If this were not one of the most common characters you will ever have to write, I would apologize for having to give the explanation that follows. Anyway, we want to depict bars of gold bullion with an umbrella overhead to shade them from the heat (and perhaps to hide them as well). The bullion is made by melting down all the scepters of the kingdom, drop by drop, and shaping them into bars. [8];gold,metal;As a primitive, it means not only _gold_ but any _metal _at all.
⻌;;;The **road** envisioned here is a road for traffic, or a path or walkway. The natural sweep of these three simple strokes should be easy to remember, as it appears so often. [3]
車;You may keep the whole range of connotations for this key word, car, provided it does not interfere with the pictograph. Look for the front and back wheels (the first and last horizontal strokes) and the seat in the carriage in the middle. As an exercise, try to isolate the primitives on your own and make a story out of them. [7];cart,car,wagon,vehicle;_Car_, _cart_, _wagon_, and _vehicle _may all be used as primitive meanings.
⼡;;;We call this element **walking legs **because it indicates “legs in motion,” whether you want to think of them as jogging or walking in long strides, as the shape seems to suggest. Be careful how you write it, with the first two strokes like a stylized “7.” [3]
各;“Suum cuique” goes the popular Latin proverb. A certain disease of the English language makes it almost impossible to translate the phrase without gender bias. In any event, here we see someone walking with his/her mouth between his/her walking legs, giving us an image of “To each his/her own.” [6];;The sense of the proverb should help when using this kanji as a primitive; otherwise, reduce it to its original elements. But do not associate it in any way with the word “every,” which we shall meet later in another context.
⼍;;drop,roof;This pictograph of a simple **crown** is distinguished from the _roof_ only by the absence of the chimney (the first _drop_ at the top). It can be used for all the principal connotations of the word **crown**. We will meet the full character from which this element is derived later on, in frame 326. [2]
軍;The crowned vehicle depicted here is a “chariot,” symbol of an army. [9];chariot;Used as a primitive this kanji means only _chariot_.
亠;;;The broad rim and tall top of the **top hat** is pictured graphically here in these two simple strokes.
;;weather vane,top hat,wind;A formal high silk _top hat_ resting atop a _weather vane _represents a **whirlwind**. To keep it distinct from the primitive for _wind_, try to picture the vortex, or tornado-like spinning movement, of a **whirlwind**. The next frame should help. [4]
高;Recalling an image from frame 195, first see the mouth under the extraterrestrial’s glass hood, and then the mouth under the top hat of one of his mates who has tried on the strange earthling’s headgear only to find that it makes him look much, much taller than everyone else. [10];tall;As a primitive, this character keeps its sense of _tall_ and its position at the top of other primitives, but its writing is abbreviated to the first 5 strokes: .
;;soil,mouth;_Soil_ over the _mouth_ of a container gives us a piece of clay pottery with its lid. Behold the **lidded crock**. [6]
周;Look more closely at your lidded crock and you will see little ruler marks along its bottom edge. This is so you can use it to calculate the circumference of your motorcycle helmet: just begin at a fixed point and turn the lidded crock around and around, keeping it flush against the side of the helmet, until you come back to your starting point. If you kept track of how many turns and part-turns your lidded crock made, you now know the circumference. [8];lap;As a primitive, this character can take the added significance of a _lap_.
士;The shape of this kanji, slightly differing from that for soil by virtue of its shorter final stroke, hints at a broad-shouldered, slender-waisted warrior standing at attention. When feudalism collapsed, these warriors became Japan’s gentlemen. [3];samurai;The primitive meaning reverts to the more colorful image of the _samurai_, Japan’s warrior class.
吉;Here we see a samurai standing on a street with an open mouth, which people walk up to and look down deep inside of for good luck. [6];lidded,mouth,crock,can,lid,aerosol;As a primitive, we shall take this shape to mean an _aerosol_ _can_, from the _mouth_ and the very tightly-fitting _lid_ (note how it differs here from the _lidded_ _crock_).
;;;Here we see a little red **schoolhouse** with the 3 dots on the roof. As you write it in the following frames, you should acquire a “feel” for the way the first two short strokes move left to right, and the third one right to left. Write it twice now, saying to yourself the first time as you write the first 3 strokes, “In the **schoolhouse **we learn our A-B-Cs,” and the second time, “In the **schoolhouse **we learn our 1-2-3s.” [5]
聿;;,cow;This primitive element, not itself a kanji, is a pictograph of a writing **brush**. Let the first 3 strokes represent the hairs at the tip of the **brush**, and the following two strokes the thumb and forefinger that guide it when you write. Note how the long vertical stroke, cutting through everything, is drawn last. This is standard procedure when you have such a stroke running the length of a character. However, as we saw in the case of _cow_, when this primitive appears on top of another primitive, its “tail” is cut off, giving us _._ [6]
攵;;walking,woman,legs;First find the long rod (the first stroke), held in the hand of someone seated (the next 3 strokes, not unlike the pictograph for _woman_, but quite different from that for _walking_ _legs_ introduced in Lesson 13). The only thing left to do is conjure up the memory of some **taskmaster** (or taskmistress) from your past whom you will “never forget.” [4]
言;Of all the things we can do with our mouth, speech requires the greatest distinctness and clarity. Hence the kanji for say has four little sound-waves, to show the complexity of the task. [7];speech,saying,words;This kanji, which appears often as a primitive, can mean _saying_, _speech_, or _words_, depending on which is most useful.
弋;;;Here we see a pictograph of a long and slightly warped **arrow**. By extending the short final stroke in both directions, you should see the **arrow**head without any difficulty. The hook at the bottom represents the feathers at the butt end. When it serves as a semi-enclosure for other primitives, the first stroke is drawn longer, as we shall see in the following frames. [3]
;;arrows,one;This primitive is easy to remember as depicting something used to bring all one’s _arrows_ together into _one_ handy place: the **quiver**. [4]
戈;;arrow;The picture in this primitive is what we may call a “tassled _arrow_.” A decorative tassle is strung on the shaft of an _arrow_ to indicate that it is no longer a weapon but a symbol of a **fiesta**. As before, the first stroke is extended when it serves as a semi-enclosure. [4]
;;fiesta,land;I choose the word **Thanksgiving **as only one possible way of making this primitive more concrete. The sense, as its composite primitives make clear, is of a “_land_ _fiesta_,” or a harvest feast. If you choose a word of your own, make sure it does not conflict with _fiesta_. [6]
戊;;fiesta;Note first the order of the writing. The first stroke, added to _fiesta,_ gives us a full-fledged enclosure, because of which we should always think of this as a **parade of **something or other, namely whatever is inside the enclosure. [5]
戌;;parade,one;As distinct from the _parade_, the **march **points to a formal demonstration, whose emotions are generally a far cry from the happy spirit of the _parade_. The inclusion of the _one_ gives the sense of the singlemindedness and unity of the group joined in the **march**. As was the case with _parade, _the primitive inside the enclosure indicates who or what is **marching**. [6]
;;fiesta;The **floats **that are such an important part of a _fiesta_ are shown here by the addition of the two extra horizontal strokes, which you may take as a quasi-pictographic representation of the platform structure of a **float**. [6]
止;The character for stop is easiest to learn as a pictograph, though you have to take a moment to see it. Take it as a rather crude drawing of a footprint: the first 3 strokes represent the front of the foot and the last the heel. The big toe (stroke 2 sticking out to the right) on the right indicates that this is a left foot. [4];stop,footprint;Although the meaning of _stop_ will be retained, we will return often to the pictographic meaning of _footprint_.
;;correct;This primitive differs from the kanji for _correct_ only by the movement added to the last two strokes, the “-ing” of **mending **if you will. But take a more concrete sense, like **mending** holes in socks. [5]
廴;;road;The primitive meaning to **stretch** might at first seem similar to that for _road_. Take a moment to study it more carefully and you will see the difference. Like _road_, this character holds other primitives above its sweeping final stroke. [3]
疋;;mending;To avoid confusion with the other animals that will be showing up, this primitive will signify a **zoo**. Except for the downward hook at the end of the first stroke, this element is indistinguishable from _mending._ Perhaps by now you have developed a quick eye for such details. If not now, you will before long. [5]
