頁;one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
頑;beginning, two, human legs, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
凡;drop, wind
負;bound up, shellfish, clam, oyster, eye, animal legs, eight
万;one, ceiling, bound up
句;bound up, mouth
肌;moon, month, flesh, part of the body, wind
旬;bound up, sun, day
勺;bound up, drop
的;bull’s eye, white, dove, ladle, bound up, drop
首;horns, nose, one, ceiling, drop, eye
乙;fishguts, fishhook
乱;tongue, thousand, drop, ten, needle, mouth, fishhook
直;ten, needle, eye, fishhook
具;eye, one, animal legs, eight
真;ten, needle, eye, tool, one, animal legs, eight
工;artificial
左;by one’s side, craft
右;by one’s side, mouth
有;by one’s side, moon, month, flesh, part of the body
賄;shellfish, clam, oyster, eye, animal legs, eight, possess, by one’s side, moon, month, flesh, part of the body
貢;craft, shellfish, clam, oyster, eye, animal legs, eight
項;craft, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
刀;dagger
刃;drop, sword, dagger
切;seven, diced, sword, dagger
召;sword, dagger, mouth
昭;sun, day, seduce, summon, sword, dagger, mouth
則;shellfish, clam, oyster, eye, animal legs, eight, sword, sabre, saber
副;wealth, one, ceiling, mouth, rice field, brains, sword, sabre, saber
別;mouth, bound up, sword, sabre, saber
丁;nail, spike
町;rice field, brains, street, nail, spike
可;mouth, street, street, nail, spike
頂;street, nail, spike, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
子;
孔;child, fishhook
了;child with arms wrapped up
女;
好;woman, child
如;woman, mouth
母;mother, breasts
貫;mama, mother, breasts, oyster, shellfish, clam, oyster, eye, animal legs, eight
兄;teenager, mouth, human legs
呪;mouth, elder brother, teenager, mouth, human legs
克;ten, needle, elder brother, teenager, mouth, human legs
小;small
少;little, small, drop
大;St. Bernard
多;evening
夕;
汐;water, water droplets, water pistol, evening
外;evening, magic wand, augury
名;evening, mouth
石;cliff, mouth
肖;spark, candle, small, little, moon, month, flesh, part of the body
硝;stone, rock, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
砕;stone, rock, ninety, nine, baseball, ten, needle
砂;stone, rock, few
妬;woman, stone, rock
削;resemblance, spark, candle, small, little, moon, month, flesh, part of the body, sword, sabre, saber
光;small, little, human legs
太;large, St. Bernard, drop
器;mouth, large, St. Bernard
臭;nose, drop, eye, large, St. Bernard
嗅;
妙;woman, few
省;few, eye
厚;cliff, sun, day, child
奇;large, St. Bernard, can, mouth, street, nail, spike
川;flood
州;stream, flood, drops
順;stream, flood, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
水;
氷;drop, water
永;drop, water
泉;white, dove, water
腺;moon, month, flesh, part of the body, spring, white, dove, water
原;cliff, spring, white, dove, small, little
願;meadow, cliff, white, dove, small, little, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
泳;water, water droplets, water pistol, eternity
沼;water, water droplets, water pistol, summon, seduce, sword, dagger, mouth
沖;water, water droplets, water pistol, in, stick, mouth
汎;water, water droplets, water pistol, mediocre, wind, drop
江;water, water droplets, water pistol, craft
汰;water, water droplets, water pistol, plump, large, St. Bernard, drop
汁;water, water droplets, water pistol, ten, needle
沙;water, water droplets, water pistol, few
潮;water, water droplets, water pistol, morning, mist, ten, needle, early, sun, day, moon, month, flesh, part of the body
源;water, water droplets, water pistol, meadow, cliff, sun, day, small, little
活;water, water droplets, water pistol, tongue, drop, old, tombstone, gravestone, church, ten, needle, mouth
消;water, water droplets, water pistol, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
況;water, water droplets, water pistol, elder brother, teenager, mouth, human legs
河;water, water droplets, water pistol, can, street, nail, spike, mouth
泊;water, water droplets, water pistol, white, dove
湖;water, water droplets, water pistol, uncivilized, zombie, old, tombstone, gravestone, church, ten, needle, mouth, moon, month, flesh, part of the body
測;water, water droplets, water pistol, rule, shellfish, clam, oyster, eye, animal legs, eight, sword, sabre, saber
土;dirt, ground
吐;mouth, soil, dirt, ground
圧;cliff, soil, dirt, ground
埼;soil, dirt, ground, strange, large, St. Bernard, street, nail, spike, mouth
垣;soil, dirt, ground, span, one, ceiling, sun, day, one, floor, one
填;
圭;square jewel, ivy, soil, dirt, ground
封;ivy, square jewel, soil, dirt, ground, glue
涯;water, water droplets, water pistol, cliff, ivy, square jewel, soil, dirt, ground
寺;buddhist temple, soil, dirt, ground, glue
時;sun, day, Buddhist temple, soil, dirt, ground, glue
均;soil, dirt, ground, ladle, drop
火;
炎;fire
煩;fire, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
淡;water, water droplets, water pistol, inflammation, fire
灯;fire, street, nail, spike
畑;fire, rice field, brains
災;stream, flood, fire
灰;cliff, fire
点;fortune-telling, magic wand, augury, mouth, oven-fire, barbecue
照;shining, sun, day, summon, seduce, sword, dagger, mouth, oven-fire, barbecue
魚;bound up, rice field, brains, oven-fire, barbecue
漁;water, water droplets, water pistol, fish, bound up, rice field, brains, oven-fire, barbecue
里;computer, rice field, brains, soil, dirt, ground
黒;computer, oven-fire, barbecue
墨;black, computer, oven-fire, barbecue
鯉;fish, bound up, rice field, brains, oven-fire, barbecue, computer
量;nightbreak, sun, day, one, floor, computer
厘;cliff, computer
埋;soil, dirt, ground, computer
同;monks, hood, one, mouth
洞;water, water droplets, water pistol, same, monks, hood, one, mouth
胴;moon, month, flesh, part of the body, same, monks, hood, one, mouth
向;alien, drop, helmet, hood, mouth
尚;small, little, alien, glass canopy, hood, mouth
字;house, child
守;house, glue
完;house, beginning, two, human legs
宣;house, span, one, ceiling, sun, day, one, floor, one
宵;house, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
安;house, woman
宴;relax, house, sun, day, tongue wagging, woman
寄;house, strange, large, St. Bernard, can, street, nail, spike, mouth
富;house, one, ceiling, mouth, rice field, brains
貯;shellfish, clam, oyster, eye, animal legs, eight, house, street, nail, spike
木;wood
林;tree, wood
森;tree, wood
桂;Japanese Judas tree, tree, wood, ivy, square jewel, soil, dirt, ground
柏;tree, wood, white, dove
枠;tree, wood, ninety, nine, baseball, ten, needle
梢;tree, wood, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
棚;tree, wood, companion, moon, month, flesh, part of the body, flesh
杏;tree, wood, mouth
桐;tree, wood, same, monks, hood, one, mouth
植;tree, wood, straightaway, ten, needle, eye, fishhook
椅;tree, wood, strange, large, St. Bernard, street, nail, spike, mouth
枯;tree, wood, old, tombstone, gravestone, church, ten, needle, mouth
朴;tree, wood, magic wand, augury
村;tree, wood, measure, glue
相;tree, wood, eye
机;tree, wood, wind
本;tree, wood, one
札;tree, wood, fishhook
暦;cliff, grove, tree, wood, sun, day
案;relax, house, woman, tree, wood
燥;fire, furniture, wooden goods, mouth, tree, wood
未;tree, wood, one
末;tree, wood, one
昧;sun, not yet, one, tree, wood
沫;water, water droplets, water pistol, extremity, one, tree, wood
味;mouth, not yet, one, tree, wood
妹;woman, not yet, one, tree, wood
朱;vermillion, drop, not yet, one, tree, wood
株;tree, wood, vermillion, drop, not yet, one, tree, wood
若;flowers, right, by one’s side, mouth
草;flowers, sunflower, early, sun, day, ten, needle
苦;flowers, old, tombstone, gravestone, church, ten, needle, mouth
苛;flowers, can, mouth, street, street, nail, spike
寛;house, flowers, look, see, telescope, eye, human legs
薄;flowers, water, water droplets, water pistol, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue
葉;flowers, Tarzan, generation, tree, wood
模;tree, wood, graveyard, flowers, sun, day, large, St. Bernard
漠;water, water droplets, water pistol, graveyard, flowers, sun, day, large, St. Bernard
墓;graveyard, flowers, sun, day, large, St. Bernard, soil, dirt, ground
暮;graveyard, flowers, sun, day, large, St. Bernard
膜;moon, month, flesh, part of the body, graveyard, flowers, sun, day, large, St. Bernard
苗;flowers, rice field, brains
兆;turtle
桃;tree, wood, portent, turtle
眺;eye, portent, turtle
犬;large, St. Bernard, drop
状;turtle, chihuahua, dog, large, drop
黙;black, computer, chihuahua, dog, large, drop, oven-fire, barbecue
然;moon, crescent moon, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, barbecue
荻;flowers, pack of wild dogs, fire
狩;pack of wild dogs, guard, house, glue
猫;pack of wild dogs, seedlings, flowers, rice field, brains
牛;
特;cow, Buddhist temple, soil, dirt, ground, glue
告;cow, mouth
先;cow, human legs
洗;water, water droplets, water pistol, before, cow, human legs
介;umbrella, stick, walking cane
界;rice field, brains, jammed in, umbrella, stick, cane
茶;flowers, umbrella, wooden pole
脊;I Ching, Master Po, umbrella, moon, month, flesh, part of the body
合;meeting, umbrella, one, mouth
塔;soil, dirt, ground, flowers, fit, meeting, umbrella, one, mouth
王;jewel, ball
玉;king, ball, earring, drop
宝;house, king, jewel, ball, earring, drop
珠;king, jewel, ball, vermillion, drop, not yet, one, tree, wood
現;king, jewel, ball, see, telescope, eye, human legs
玩;king, jewel, ball, beginning, two, human legs
狂;pack of wild dogs, king, jewel, ball
旺;sun, day, king, jewel, ball
皇;white, dove, king, jewel, ball
呈;mouth, king, jewel, ball
全;umbrella, king, jewel, ball
栓;tree, wood, whole, umbrella, king, jewel, ball
理;king, jewel, ball, computer
主;drop, king, jewel, ball
注;water, water droplets, water pistol, candlestick, lord, drop, king, jewel, ball
柱;tree, wood, candlestick, lord, drop, king, jewel, ball
金;metal, umbrella, drop, king, jewel, ball
銑;pig-iron, metal, gold, before, cow, human legs
鉢;metal, gold, origin, book, tree, wood, one
銅;metal, gold, same, monks, hood, one, mouth
釣;metal, gold, ladle, bound up, drop
針;metal, gold, ten
銘;metal, gold, name, evening, mouth
鎮;tranquilize, metal, gold, true, truth, ten, needle, eye, tool, animal legs, eight
道;neck, horns, drop, eye, road
導;neck, horns, drop, eye, road, glue
辻;cross, ten, needle, road
迅;fishhook, cross, ten, needle, road
造;revelation, cow, mouth, road
迫;white, dove, road
逃;turtle, portent, road
辺;dagger, sword, road
巡;deluge, stream, flood, road
車;sun, ten, needle
連;car, road
軌;car, nine, baseball
輸;car, meeting of butchers, umbrella, one, moon, month, flesh, part of the body, sword, sabre, saber
喩;
前;horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber
煎;in front, horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber, oven-fire, barbecue
各;walking legs, mouth
格;tree, wood, each, walking legs, mouth
賂;shellfish, clam, oyster, eye, animal legs, eight, each, walking legs, mouth
略;rice field, brains, each, walking legs, mouth
客;house, each, walking legs, mouth
額;guest, house, each, walking legs, mouth, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
夏;one, ceiling, drop, eye, walking legs
処;walking legs, wind
条;walking legs, tree, wood
落;flowers, water, water droplets, water pistol, each, walking legs, mouth
冗;crown, weathercock, wind
冥;hades, crown, sun, day, six
軍;chariot, crown, vehicle, car
輝;ray, small, little, human legs, army, chariot, crown, vehicle, car
運;army, chariot, crown, vehicle, car, road
冠;beginning, two, human legs, glue
夢;flowers, eye, cross-eyed, net, crown, evening
坑;soil, dirt, ground, whirlwind, top hat, wind
高;top hat, mouth, alien, hood, mouth
享;tall, top hat, mouth, children
塾;receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, soil, dirt, ground
熟;receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, oven-fire, barbecue
亭;tall, top hat, mouth, crown, street, nail, spike
京;tall, top hat, mouth, small, little
涼;water droplets, water pistol capital, tall, top hat, mouth, small, little
景;sun, day, capital, tall, top hat, mouth, small, little
鯨;fish, bound up, rice field, brains, oven-fire, barbecue, capital, tall, top hat, mouth, small, little
舎;umbrella, earthenware jar, lidded crock, soil, dirt, ground, mouth
周;glass hood, earthenware jar, lidded crock, soil, dirt, ground, mouth
週;circumference, running track, earthenware jar, lidded crock, soil, dirt, ground, mouth, road
士;samurai
吉;samurai, mouth
壮;turtle, samurai
荘;flowers, robust, turtle, samurai
売;samurai, paper punch, Miss World, crown, human legs
学;schoolhouse, owl, crown, child
覚;schoolhouse, owl, crown, see, telescope, eye, human legs
栄;schoolhouse, owl, crown, tree, wood
書;brush, tongue wagging, sun, day
津;water, water droplets, water pistol, brush
牧;cow, taskmaster
攻;craft, taskmaster
敗;shellfish, clam, oyster, eye, animal legs, eight, taskmaster
枚;sheet of…, tree, wood, taskmaster
故;old, tombstone, gravestone, church, ten, needle, mouth, taskmaster
敬;flowers, phrase, bound up, mouth, taskmaster
言;words, keitai, mouth
警;awe, flowers, phrase, bound up, mouth, taskmaster, say, words, keitai, mouth
計;say, words, keitai, mouth, ten, needle
詮;say, words, keitai, mouth, whole, umbrella, king, jewel, ball
獄;pack of wild dogs, say, words, keitai, mouth, chihuahua, dog, large, drop
訂;say, words, keitai, mouth, street, nail, spike
訃;
討;say, words, keitai, mouth, glue
訓;say, words, keitai, mouth, stream, flood
詔;say, words, keitai, mouth, summon, seduce, sword, dagger, mouth
詰;say, words, keitai, mouth, aerosol, good luck, samurai, mouth
話;say, words, keitai, mouth, tongue, thousand, mouth
詠;say, words, keitai, mouth, eternity, drop, water
詩;say, words, keitai, mouth, Buddhist temple, soil, dirt, ground, glue
語;say, words, keitai, mouth, I, five, mouth
読;say, words, keitai, mouth, sell, sale, samurai, paper punch, Miss World, crown, human legs
調;say, words, keitai, mouth, circumference, running track, soil, dirt, ground, mouth
談;say, words, keitai, mouth, inflammation, fire
諾;say, words, keitai, mouth, young, flowers, by one’s side, mouth
諭;say, words, keitai, mouth, meeting of butchers, moon, month, flesh, part of the body, sword, sabre, saber
式;arrow, craft
試;say, words, keitai, mouth, style, arrow, craft
弐;II, two, arrows, quiver
域;soil, dirt, ground, pope, fiesta, mouth, one, floor
賊;shellfish, clam, oyster, eye, animal legs, eight, ten, needle, fiesta
栽;Thanksgiving, harvest festival, ten, needle, fiesta, tree, wood
載;Thanksgiving, harvest festival, ten, needle, fiesta, car, vehicle
茂;flowers, parade
戚;half-uncle, above, small, little, parade
成;parade, sword, dagger
城;soil, dirt, ground, turn into, parade, sword, dagger
誠;say, words, keitai, mouth, turn into, sword, dagger, parade
威;march, women, woman
滅;water, water droplets, water pistol, march, fire
減;water, water droplets, water pistol, march, mouth
蔑;flowers, eye, cross-eyed, net, march
桟;tree, wood, float, fiesta
銭;metal, gold, float, fiesta
浅;water, water droplets, water pistol, float, fiesta
止;footprint
歩;stop, footprint, few
渉;water, water droplets, water pistol, walk, stop, footprint, few
頻;walk, stop, footprint, few, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
肯;stop, footprint, moon, month, flesh, part of the body
企;umbrella, stop, footprint
歴;cliff, grove, tree, wood, stop, footprint
武;one, arrow, stop, footprint
賦;shellfish, clam, oyster, eye, animal legs, eight, warrior, one, stop, footprint, arrow
正;one, ceiling, stop, footprint
証;say, words, keitai, mouth, correct, one, ceiling, stop, footprint
政;correct, one, ceiling, stop, footprint, taskmaster
定;house, mend
錠;metal, gold, determine, determined, house, mend
走;soil, dirt, ground, mend
超;run, soil, dirt, ground, mend, summon, seduce, sword, dagger, mouth
赴;run, soil, dirt, ground, mend, magic wand, augury
越;run, soil, dirt, ground, mend, parade
是;sun, day, mend
題;just so, sun, day, mend, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
堤;soil, dirt, ground, just so, sun, day, mend
建;brush, stretch
鍵;metal, gold, build, brush, stretch
延;drop, stop, footprint, stretch
誕;say, words, keitai, mouth, prolonged, drop, stop, footprint, stretch
礎;stone, rock, grove, tree, wood, zoo, critters
婿;woman, zoo, critters, moon, month, flesh, part of the body
衣;top hat, scarf, cloth, clothes, clothing
裁;Thanksgiving, harvest festival, ten, needle, fiesta, top hat, scarf, cloth, clothes, clothing, garment
装;turtle, samurai, top hat, scarf, cloth, clothes, clothing, garment
裏;top hat, scarf, computer
壊;soil, dirt, ground, poltergeist, BernaE, ten, needle, eye, cross-eyed, net, top hat, scarf, cloth, clothes, clothing, garment
哀;top hat, scarf, mouth
遠;earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf, road
猿;pack of wild dogs, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf
初;cloak, sword, dagger
巾;
布;by one’s side, towel
帆;towel, mediocre, drop, wind
幅;towel, wealth, one, ceiling, mouth, rice field, brains
帽;towel, risk, sun, day, eye
幕;graveyard, flowers, sun, day, large, St. Bernard, towel
幌;towel, limpid, sun, day, ray, small, little, human legs
錦;metal, gold, napkin, white, dove, towel
市;top hat, towel
柿;tree, wood, market, top hat, towel
姉;woman, market, top hat, towel
肺;moon, month, flesh, part of the body, market, top hat, towel
帯;buckle, apron, crown, towel
滞;water, water droplets, water pistol, sash, buckle, apron, crown, towel
刺;tree, wood, belt, sword, sabre, saber
制;cow, belt, sword, sabre, saber
製;made in…, system, cow, belt, sword, sabre, saber, hat, scarf, cloth, clothes, clothing, garment
転;car, rising cloud, two, elbow, wall
芸;flowers, rising cloud, two, elbow, wall
雨;weather
雲;rain, weather, rising cloud, two, elbow, wall
曇;sun, day, cloud, rain, weather, rising cloud, two, elbow, wall
雷;rain, weather, rice field, brains
霜;rain, weather, inter, Inter Milan, tree, wood, eye
冬;walking legs, ice
天;one, ceiling, large
妖;woman, sapling
沃;water, water droplets, water pistol, sapling
橋;tree, wood, angel, heavens, mouth, hood, mouth
嬌;woman, angel, heavens, mouth, hood, mouth
立;vase
泣;water, water droplets, water pistol, vase, stand up
章;vase, stand up, sunflower, early, sun, day, ten, needle
競;vase, stand up, elder brother, teenager, mouth, human legs
帝;vase, stand up, apron, crown, towel
諦;say, words, keitai, mouth, sovereign, vase, stand up, apron, crown, towel
童;vase, stand up, computer
瞳;eye, juvenile, vase, stand up, computer
鐘;metal, gold, juvenile, vase, stand up, computer
商;vase, stand up, alien, hood, human legs, mouth
嫡;woman, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth
適;antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, road
滴;water, water droplets, water pistol, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth
敵;antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, taskmaster
匕;sitting on the ground
叱;mouth, diced, seven, spoon, sitting on the ground
匂;bound up, spoon, sitting on the ground
頃;spoon, sitting on the ground, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight
北;spoon, sitting on the ground
背;north, spoon, sitting on the ground, moon, month, flesh, part of the body
比;spoon, sitting on the ground
昆;sun, day, compare, spoon, sitting on the ground
皆;compare, spoon, sitting on the ground, white, dove
楷;
諧;
混;water, water droplets, water pistol, descendants, sun, day, compare, spoon, sitting on the ground
渇;water, water droplets, water pistol, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
謁;say, words, keitai, mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
褐;cloak, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
喝;mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
葛;flowers, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
旨;spoon, sitting on the ground, sun, day
脂;moon, month, flesh, part of the body, delicious, spoon, sun, day
詣;say, words, keitai, mouth, delicious, spoon, sitting on the ground, sun, day
壱;1 (one), samurai, crown, spoon, sitting on the ground
毎;reclining, lying down, mother
敏;every, reclining, lying down, mother, breasts, taskmaster
梅;tree, wood, every, reclining, lying down, mother, breasts
海;water, water droplets, water pistol, every, reclining, lying down, mother, breasts
乞;reclining, lying down, fishhook
乾;mist, ten, needle, early, sun, day, beg, reclining, lying down, fishhook
腹;moon, month, flesh, part of the body, fold back, double back, reclining, lying down, sun, day, walking legs
複;cloak, fold back, double back, reclining, lying down, sun, day, walking legs
欠;yawn
吹;mouth, lack, yawn
炊;fire, lack, yawn
歌;cancan, can, mouth, street, nail, spike, lack, yawn
軟;car, lack, yawn
次;ice, lack, yawn
茨;flowers, next, ice, lack, yawn
資;next, ice, lack, yawn, shellfish, clam, oyster, eye, animal legs, eight
姿;next, ice, lack, yawn, woman
諮;say, words, keitai, mouth, next, ice, lack, yawn, mouth
賠;shellfish, clam, oyster, eye, animal legs, eight, muzzle, vase, stand up, mouth
培;soil, dirt, ground, muzzle, vase, stand up, mouth
剖;muzzle, vase, stand up, mouth, sword, sabre, saber
音;vase, stand up, sun, day, tongue wagging
暗;sun, day, sound, vase, stand up, sun, day
韻;sound, vase, stand up, sun, day, employee, mouth, shellfish, clam, oyster, eye, animal legs, eight
識;say, words, keitai, mouth, kazoo, sound, vase, stand up, sun, day, fiesta
鏡;metal, gold, vase, stand up, sun, day, human legs
境;soil, dirt, ground, mirror, vase, stand up, sun, day, human legs
亡;perish, top hat, fishhook
盲;deceased, perish, top hat, fishhook, eye
妄;deceased, perish, top hat, fishhook, woman
荒;wreath, flowers, deceased, perish, top hat, fishhook, stream, flood
望;deceased, perish, top hat, fishhook, moon, month, flesh, part of the body, king, jewel, ball
方;compass
妨;compass, direction, woman
坊;soil, dirt, ground, compass, direction
芳;perfume, flowers, compass, direction
肪;moon, month, flesh, part of the body, compass, direction
訪;say, words, keitai, mouth, compass, direction
放;compass, direction, taskmaster
激;water, water droplets, water pistol, white, dove, compass, direction, taskmaster
脱;moon, month, flesh, part of the body, devil, horns, elder brother, teenager, mouth, human legs
説;rumor, say, words, keitai, mouth, devil, horns, elder brother, teenager, mouth, human legs
鋭;metal, gold, devil, horns, elder brother, teenager, mouth, human legs
曽;increase, horns, rice field, brains, sun, day
増;soil, dirt, ground, formerly, horns, rice field, brains, sun, day
贈;shellfish, clam, oyster, eye, animal legs, eight, increase, formerly, horns, rice field, brains, sun, day
東;sun, day, tree, wood
棟;tree, wood, east, tree, wood, sun, day
凍;ice, east, tree, wood, sun, day
妊;woman, porter, drop, samurai
廷;porter, drop, samurai, stretch
染;water, water droplets, water pistol, nine, baseball, tree, wood
燃;fire, sort of thing, moon, crescent moon, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, barbecue
賓;house, one, ceiling, few, shellfish, clam, oyster, eye, animal legs, eight
歳;year end, stop, footprint, one, little, small, march
県;eye, fishhook, small, little
栃;tree, wood, Wimbledon, cliff, ten thousand, one, bound up
地;soil, dirt, scorpion
池;water, water droplets, water pistol, scorpion
虫;in, stick, mouth
蛍;lightning-bug, schoolhouse, owl, crown, insect
蛇;insect, wind chimes, house, spoon, sitting on the ground
虹;insect, craft
蝶;insect, Tarzan, generation, tree, wood
独;pack of wild dogs, insect
蚕;heavens, insect
風;gnats, drop, insect
己;snake
起;run, soil, dirt, ground, mend, snake, self
妃;woman, snake, self
改;snake, self, taskmaster
記;say, words, keitai, mouth, snake, self
包;bound up, snake, self
胞;moon, month, flesh, part of the body, wrap, bound up, snake, self
砲;stone, rock, wrap, bound up, snake, self
泡;water, water droplets, water pistol, wrap, bound up, snake, self
亀;bound up, eels, sun, day
電;rain, weather, eel, sun, day
竜;vase, stand up, eel, sun, day
滝;water, water droplets, water pistol, dragon, vase, stand up, eel, sun, day
豚;moon, month, flesh, part of the body, sow, pig
逐;sow, pig, road
遂;horns, sow, pig, road
家;sow, pig
嫁;woman, house, sow, pig
豪;tall, top hat, mouth, crown, sow, pig
腸;moon, month, flesh, part of the body, piggy bank, sun, day, piglets
場;soil, dirt, ground, piggy bank, sun, day, piglets
湯;water, water droplets, water pistol, piggy bank, sun, day, piglets
羊;horns
美;sheep, large, St. Bernard
洋;water, water droplets, water pistol, sheep
詳;say, words, keitai, mouth, sheep
鮮;fish, bound up, rice field, brains, oven-fire, barbecue, sheep
達;soil, dirt, ground, sheep, road
羨;sheep, water, water droplets, water pistol, lack, yawn
差;wool, sheep, craft
着;wool, sheep, eye
唯;mouth, turkey
堆;soil, dirt, ground, turkey
椎;tree, wood, turkey
誰;who, say, words, keitai, mouth, turkey
焦;turkey, oven-fire, barbecue
礁;stone, rock, char, turkey, oven-fire, barbecue
集;turkey, tree, wood
准;ice, turkey
進;turkey, road
雑;nine, baseball, tree, wood, turkey
雌;Prince, this here, stop, footprint, spoon, sitting on the ground, turkey
準;water, water droplets, water pistol, turkey, ten, needle
奮;large, St. Bernard, turkey, rice field, brains
奪;large, St. Bernard, turkey, glue
確;stone, rock, turkeyhouse, house, turkey
午;horse, pantomime horse, sign of the horse
許;say, words, keitai, mouth, horse, pantomime horse, noon, sign of the horse
歓;pegasus, horse, pantomime horse, noon, sign of the horse, turkey, lack, yawn
権;tree, wood, pegasus, horse, pantomime horse, noon, sign of the horse, turkey
観;pegasus, horse, pantomime horse, noon, sign of the horse, turkey, see, telescope, eye, human legs
羽;wings
習;feathers, wings, white, dove
翌;feathers, wings, vase, stand up
曜;sun, day, futon, feathers, wings, turkey
濯;water, water droplets, water pistol, futon, feathers, wings, turkey
曰;pent in, one
困;pent in, tree, wood
固;pent in, old, tombstone, gravestone, church, ten, needle, mouth
錮;
国;pent in, king, jewel, ball, earring, drop
団;pent in, glue
因;pent in, large, St. Bernard
姻;woman, cause, pent in, large, St. Bernard
咽;mouth, cause, pent in, large, St. Bernard
園;pent in, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf
回;times, pent in, mouth
壇;soil, dirt, ground, Churchill, top hat, -times, pent in, mouth, nightbreak, sun, day, one, floor
店;cave, fortune-telling, magic wand, augury, mouth
庫;cave, car
庭;cave, courts, porter, drop, samurai, stretch
庁;cave, street, nail, spike
床;cave, tree, wood
麻;cave, grove, tree, wood
磨;hemp, cave, grove, tree, wood, stone, rock
心;drops, fishhook
忘;perish, deceased, top hat, fishhook, heart
恣;
忍;blade, sword, dagger, drop, heart
認;say, words, keitai, mouth, endure, blade, sword, dagger, drop, heart
忌;snake, self, heart
志;samurai, heart
誌;say, words, keitai, mouth, intention, samurai, heart
芯;flowers, heart
