嗚呼	ああ	Ah!;Oh!;Alas!
跡	あと	trace;tracks;mark;scar;sign;remains;ruins
後	あと	after;behind;later;rear;remainder;successor
後	あと	after;behind;later;rear;remainder;successor
後	あと	after;behind;later;rear;remainder;successor
後	あと	after;behind;later;rear;remainder;successor
跡継ぎ	あとつぎ	heir;successor
後回し	あとまわし	putting off;postponing
穴	あな	hole
貴女	あなた	you;lady
兄	あに	older brother
姉	あね	older sister
彼の	あの	that over there
暴れる	あばれる	to act violently;to rage;to struggle;to be riotous
浴びる	あびる	to bathe;to bask in the sun;to shower
溢れる	あふれる	to flood;to overflow;to brim over
危ない	あぶない	dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
油	あぶら	oil
油	あぶら	oil
油絵	あぶらえ	oil painting
炙る	あぶる	to scorch
	あべこべ	contrary;opposite;inverse
甘い	あまい	generous;indulgent;easy-going;sweet;fond of;soft on;overly optimistic;naive
甘える	あまえる	to behave like a spoiled child;to fawn on
甘口	あまくち	sweet flavour;mildness;flattery;stupidity
雨具	あまぐ	rain gear
天	あまつ	heavenly;imperial
雨戸	あまど	sliding storm door
甘やかす	あまやかす	to pamper;to spoil
余り	あまり	not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
余り	あまり	not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
余る	あまる	to remain;to be left over;to be in excess;to be too many
網	あみ	net;network
網	あみ	net;network
編物	あみもの	knitting;web
編む	あむ	to knit
雨	あめ	rain
飴	あめ	(hard) candy
天地	あめつち	heaven and earth;the universe;nature;top and bottom;realm;sphere;world
危うい	あやうい	dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
怪しい	あやしい	suspicious;dubious;doubtful
操る	あやつる	to manipulate;to operate;to pull strings
	あやふや	uncertain;vague;ambiguous
危ぶむ	あやぶむ	to fear;to have misgivings;to be doubtful;to mistrust
過ち	あやまち	fault;error;indiscretion
誤り	あやまり	error
誤る	あやまる	to make a mistake
謝る	あやまる	to apologize
歩み	あゆみ	walking
歩む	あゆむ	to walk;to go on foot
	あら	oh;ah;saw-edged perch (Niphon spinosus)
荒い	あらい	rough;rude;wild
粗い	あらい	coarse;rough
洗う	あらう	to wash
予め	あらかじめ	beforehand;in advance;previously
嵐	あらし	storm;tempest
荒らす	あらす	to lay waste;to devastate;to damage;to invade;to break into
粗筋	あらすじ	outline;summary
争い	あらそい	dispute;strife;quarrel;dissension;conflict;rivalry;contest
争う	あらそう	to dispute;to argue;to be at variance;to compete
新た	あらた	new;fresh;novel
改まる	あらたまる	to be renewed
改めて	あらためて	another time;again;over again;anew;formally
改める	あらためる	to change;to alter;to reform;to revise
荒っぽい	あらっぽい	rough;rude
凡ゆる	あらゆる	all;every
	あられ	kind of cookie;cartoon character
表す	あらわす	to express;to show;to reveal
現す	あらわす	to show;to indicate;to display
著す	あらわす	to write;to publish
現われ	あらわれ	embodiment;materialization
現われる	あらわれる	to appear;to come in sight;to become visible;to come out;to embody;to materialize;to express oneself
有難い	ありがたい	grateful;thankful
有難う	ありがとう	Thank you
有様	ありさま	state;condition;circumstances;the way things are or should be;truth
有りのまま	ありのまま	the truth;fact;as it is;frankly
或る	ある	a certain...;some...
有る	ある	to be;to have
在る	ある	to live;to be
或いは	あるいは	or;possibly
歩く	あるく	to walk
主	あるじ	master;head (of a household);landlord;one's husband;employer;host
主	あるじ	master;head (of a household);landlord;one's husband;employer;host
主人	あるじ	master;head (of a household);landlord;one's husband;employer;host
	あれ	1.  that;that thing; 2.  (X) (col) genitals; 3.  menses
彼此	あれこれ	one thing or another;this and that;this or that
荒れる	あれる	to be stormy;to be rough;to lose one's temper
泡	あわ	bubble;foam;froth;head on beer
合わす	あわす	to join together;to face;to unite;to be opposite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
合わせ	あわせ	joint together;opposite;facing
合わせる	あわせる	to join together;to be opposite;to face;to unite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
慌ただしい	あわただしい	busy;hurried;confused;flurried
慌てる	あわてる	to become confused (disconcerted  disorganized)
哀れ	あわれ	helpless;pathos;pity;sorrow;grief;misery;compassion
案	あん	plan;suffix meaning draft
安易	あんい	easy-going
案外	あんがい	unexpectedly
暗記	あんき	memorization;learning by heart
暗殺	あんさつ	assassination
暗算	あんざん	mental arithmetic
安心	あんしん	relief;peace of mind
暗示	あんじ	hint;suggestion
案じる	あんじる	to be anxious;to ponder
安静	あんせい	rest
安全	あんぜん	safety;security
安定	あんてい	stability;equilibrium
	あんな	such;so;that;sort of
案内	あんない	information;guidance;leading
案の定	あんのじょう	sure enough;as usual
余り	あんまり	not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
依	い	depending on
依	い	depending on
胃	い	stomach
良い	いい	good
伊井	いい	that one;Italy
否	いいえ	no;nay;yes;well
否	いいえ	no;nay;yes;well
いい加減	いいかげん	moderate;right;random;not thorough;vague;irresponsible;halfhearted
言い出す	いいだす	to start talking;to speak;to tell;to propose;to suggest;to break the ice
言い付ける	いいつける	to tell;to tell on (someone);to order;to charge;to direct
言い訳	いいわけ	excuse;explanation
医院	いいん	doctor's office (surgery);clinic;dispensary
委員	いいん	committee member
言う	いう	to say
家	いえ	house
家	いえ	house
家	いえ	house
家	いえ	house
家出	いえで	running away from home;leaving home
家主	いえぬし	landlord
以下	いか	less than;up to;below;under;and downward;not exceeding;the following;the rest
如何	いかが	how;in what way
生かす	いかす	to revive;to resuscitate;to make use of
雷	いかずち	thunder
如何に	いかに	how?;in what way?;how much?;however;whatever
如何にも	いかにも	indeed;really;phrase meaning agreement
怒り	いかり	anger;hatred
怒る	いかる	to get angry;to be angry
以外	いがい	with the exception of;excepting
意外	いがい	unexpected;surprising
医学	いがく	medical science;medicine
歪む	いがむ	to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained
歪む	いがむ	to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained
粋	いき	chic;style;purity;essence
粋	いき	chic;style;purity;essence
息	いき	breath;tone
行き	いき	going
生き生き	いきいき	vividly;lively
勢い	いきおい	force;vigor;energy;spirit;life;authority;influence;power;might;impetus;course (of events);tendency;necessarily
域外	いきがい	outside the area
意気込む	いきごむ	to be enthusiastic about
経緯	いきさつ	1.  details;whole story;sequence of events;particulars;how it started;how things got this way; 2.  complications;position
行き違い	いきちがい	misunderstanding;estrangement;disagreement;crossing without meeting;going astray
行き成り	いきなり	suddenly
生き物	いきもの	living thing;animal
生きる	いきる	to live;to exist
異議	いぎ	objection;dissent;protest
意義	いぎ	meaning;significance
	いく	to come;to orgasm
行く	いく	to go
軍	いくさ	war;battle;campaign;fight
戦	いくさ	war;battle;campaign;fight
育児	いくじ	childcare;nursing;upbringing
育成	いくせい	rearing;training;nurture;cultivation;promotion
幾多	いくた	many;numerous
幾つ	いくつ	how many?;how old?
幾分	いくぶん	somewhat
幾ら	いくら	how much?;how many?
池	いけ	pond
	いけない	must not do;bad;wrong;not good
生け花	いけばな	1.  flower arrangement
活ける	いける	to arrange (flowers)
異見	いけん	different opinion;objection
意見	いけん	opinion;view
意向	いこう	intention;idea;inclination
移行	いこう	switching over to
以降	いこう	on and after;hereafter;thereafter
以後	いご	after this;from now on;hereafter;thereafter
勇ましい	いさましい	brave;valiant;gallant;courageous
	いざ	now;come (now);well;crucial moment
石	いし	stone
医師	いし	doctor;physician
意思	いし	intention;purpose
意志	いし	will;volition
意識	いしき	consciousness;senses
碑	いしぶみ	stone monument bearing an inscription
医者	いしゃ	doctor (medical)
衣装	いしょう	clothing;costume;outfit;garment;dress
衣食住	いしょくじゅう	necessities of life (food  clothing  etc.)
意地	いじ	disposition;spirit;willpower;obstinacy;backbone;appetite
維持	いじ	maintenance;preservation
苛める	いじめる	to tease;to torment;to persecute;to chastise
移住	いじゅう	migration;immigration
以上	いじょう	more than;exceeding;greater than;this is all;over;above;and up;beyond;the above-mentioned;since;as long as;the end
異常	いじょう	strangeness;abnormality;disorder
弄る	いじる	to touch;to tamper with
意地悪	いじわる	malicious;ill-tempered;unkind
椅子	いす	chair
泉	いずみ	spring;fountain
何れ	いずれ	where;which;who;anyway;anyhow;at any rate
異性	いせい	the opposite sex
遺跡	いせき	historic ruins (remains  relics)
依然	いぜん	still;as yet
以前	いぜん	ago;since;before;previous
忙しい	いそがしい	busy;irritated
急ぐ	いそぐ	to hurry;to rush
依存	いそん	dependence;dependent;reliance
板	いた	board;plank
痛い	いたい	painful
委託	いたく	consign (goods (for sale) to a firm);entrust (person with something);commit
致す	いたす	to do
悪戯	いたずら	tease;prank;trick;practical joke;mischief
頂	いただき	(top of) head;summit;spire
戴きます	いただきます	expression of gratitude before meals
頂く	いただく	to receive;to take food or drink (hum);to be crowned with;to wear;to live under (a ruler);to install (a president);to accept;to buy;to take
至って	いたって	very much;exceedingly;extremely
痛み	いたみ	pain;ache;sore;grief;distress
痛む	いたむ	to hurt;to feel a pain;to be injured
痛める	いためる	to hurt;to injure;to cause pain;to worry;to bother;to afflict;to be grieved over
炒める	いためる	to stir-fry
至る	いたる	to come;to arrive
労る	いたわる	to pity;to sympathize with;to console;to care for;to be kind to
偉大	いだい	greatness
抱く	いだく	to embrace;to hug;to harbour;to entertain;`to sleep with'
抱く	いだく	to embrace;to hug;to harbour;to entertain;`to sleep with'
市	いち	market;fair
一	いち	(num) one
位地	いち	place;situation;position;location
位置	いち	place;situation;position;location
市	いち	market;fair
一	いち	(num) one
一々	いちいち	one by one;separately
一応	いちおう	once;tentatively;in outline;for the time being
一概に	いちがいに	unconditionally;as a rule
一見	いちげん	unfamiliar;never before met
一言	いちげん	single word
一時	いちじ	one hour;short time;once;a time;temporarily;at one time;twelfth part of a day
一日	いちじつ	1.  one day; 2.  first of month
一定	いちじょう	fixed;settled;definite;uniform;regularized;defined;standardized;certain;prescribed
著しい	いちじるしい	remarkable;considerable
一段と	いちだんと	greater;more;further;still more
一度	いちど	once;one time;on one occasion
一同	いちどう	all present;all concerned;all of us
一度に	いちどに	all at once
一人	いちにん	one person
市場	いちば	(town) market;marketplace;market
市場	いちば	(town) market;marketplace;market
一番	いちばん	best;first;number one;a game;a round;a bout;a fall;an event (in a meet)
一部	いちぶ	1.  one copy  e.g. of a document; 2.  a part;partly;some
一部分	いちぶぶん	a part
一別	いちべつ	parting
一面	いちめん	one side;one phase;front page;the other hand;the whole surface
一目	いちもく	a glance;a look;a glimpse
一様	いちよう	uniformity;evenness;similarity;equality;impartiality
一律	いちりつ	evenness;uniformity;monotony;equality
一流	いちりゅう	first class;top grade;school (of art);foremost;top-notch;unique
一連	いちれん	a series;a chain;a ream (of paper)
一家	いっか	a house;a home;a family;a household;one's family;one's folks;a style
一括	いっかつ	all together;batch;one lump;one bundle;summing up
一気	いっき	drink!(said repeatedly as a party cheer)
一挙に	いっきょに	at a stroke;with a single swoop
一切	いっさい	all;everything;without exception;the whole;entirely;absolutely
一昨日	いっさくじつ	day before yesterday
一昨年	いっさくねん	year before last
一種	いっしゅ	a species;a kind;a variety
一瞬	いっしゅん	a moment;an instant
一緒	いっしょ	together;meeting;company
一生	いっしょう	whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era
一生懸命	いっしょうけんめい	very hard;with utmost effort;with all one's might
一心	いっしん	one mind;wholeheartedness;the whole heart
一斉	いっせい	simultaneous;all at once
	いっそ	rather;sooner;might as well
一層	いっそう	much more;still more;all the more
一帯	いったい	a region;a zone;the whole place
一体	いったい	one object;one body;what on earth?;really?;generally
一旦	いったん	once;for a moment;one morning;temporarily
一致	いっち	coincidence;agreement;union;match;conformity;consistency;co-operation
一敗	いっぱい	one defeat
一般	いっぱん	general;liberal;universal;ordinary;average
一変	いっぺん	complete change;about-face
一方	いっぽう	on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn
何時	いつ	when;how soon
五日	いつか	five days;the fifth day (of the month)
何時か	いつか	sometime;someday;one day;some time or other;the other day;in due course;in time
五つ	いつつ	five
何時でも	いつでも	(at) any time;always;at all times;never (neg);whenever
何時の間にか	いつのまにか	before one knows;unnoticed;unawares
何時までも	いつまでも	forever;for good;eternally;as long as one likes;indefinitely
何時も	いつも	always;usually;every time;never (with neg. verb)
移転	いてん	moving;transfer;demise
意図	いと	intention;aim;design
糸	いと	thread;yarn;string
従兄弟	いとこ	cousin
従姉妹	いとこ	cousin (female)
営む	いとなむ	to carry on (e.g. in ceremony);to run a business
暇	いとま	free time;leisure;leave;spare time;farewell
井戸	いど	water well
緯度	いど	latitude (nav.)
異動	いどう	a change
移動	いどう	removal;migration;movement
挑む	いどむ	to challenge;to contend for;to make love to
以内	いない	within;inside of;less than
田舎	いなか	rural;not particularly urban;countryside;suburb
稲光	いなびかり	(flash of) lightning
古	いにしえ	antiquity;ancient times
犬	いぬ	dog
稲	いね	rice-plant
居眠り	いねむり	dozing;nodding off
命	いのち	(mortal) life
祈り	いのり	prayer;supplication
祈る	いのる	to pray;to wish
違反	いはん	violation (of law);transgression;infringement;breach
威張る	いばる	to be proud;to swagger
鼾	いびき	snoring
衣服	いふく	clothes
今	いま	now;the present time;just now;soon;immediately;(one) more
居間	いま	living room (western style)
今	いま	now;the present time;just now;soon;immediately;(one) more
今更	いまさら	now;at this late hour
未だ	いまだ	as yet;hitherto;not yet (neg)
今に	いまに	before long;even now
今にも	いまにも	at any time;soon
意味	いみ	meaning;significance
移民	いみん	emigration;immigration;emigrant;immigrant
妹	いもうと	younger sister
嫌	いや	disagreeable;detestable;unpleasant;reluctant
厭々	いやいや	unwillingly;grudgingly;shaking head in refusal (to children)
嫌がる	いやがる	to hate;to dislike
卑しい	いやしい	greedy;vulgar;shabby;humble;base;mean;vile
	いやに	awfully;terribly
厭やらしい	いやらしい	detestable;disagreeable
愈々	いよいよ	more and more;all the more;increasingly;at last;beyond doubt
意欲	いよく	will;desire;ambition
以来	いらい	since;henceforth
依頼	いらい	request;commission;dispatch;dependence;trust
苛々	いらいら	getting nervous;irritation
	いらっしゃる	to be;to come;to go
入口	いりくち	entrance;gate;approach;mouth
衣料	いりょう	clothing
医療	いりょう	medical care;medical treatment
威力	いりょく	power;might;authority;influence
居る	いる	to be (animate);to exist
要る	いる	to need
居る	いる	to be (animate);to exist
入る	いる	to get in;to go in;to come in;to flow into;to set;to set in
煎る	いる	to parch;to fry;to fire;to broil;to roast;to boil down (in oil)
居る	いる	to be (animate);to exist
衣類	いるい	clothes;clothing;garments
入れ物	いれもの	container;case;receptacle
入れる	いれる	to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes)
色	いろ	colour
色	いろ	colour
色々	いろいろ	various
異論	いろん	different opinion;objection
岩	いわ	rock;crag
祝い	いわい	celebration;festival
祝う	いわう	to congratulate;to celebrate
言わば	いわば	so to speak
所謂	いわゆる	the so-called;so to speak
印	いん	seal;stamp;mark;print
員	いん	member
印鑑	いんかん	stamp;seal
陰気	いんき	gloom;melancholy
隠居	いんきょ	retirement;retired person
印刷	いんさつ	printing
印象	いんしょう	impression
引退	いんたい	retire
引用	いんよう	quotation;citation
引力	いんりょく	gravity
上	うえ	above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上	うえ	above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上	うえ	above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上	うえ	above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
植木	うえき	garden shrubs;trees;potted plant
上下	うえした	high and low;up and down;unloading and loading;praising and blaming
植える	うえる	to plant;to grow
飢える	うえる	to starve
魚	うお	fish
魚	うお	fish
伺う	うかがう	to visit;to ask;to inquire;to hear;to be told;to implore (a god for an oracle)
浮かぶ	うかぶ	to float;to rise to surface;to come to mind
浮かべる	うかべる	to float;to express;to look (sad  glad)
受かる	うかる	to pass (examination)
含嗽	うがい	gargle;rinse mouth
浮く	うく	to float;to become merry;to become loose
受け入れ	うけいれ	receiving;acceptance
受け入れる	うけいれる	to accept;to receive
承る	うけたまわる	to hear;to be told;to know
受け継ぐ	うけつぐ	to inherit;to succeed;to take over
受付	うけつけ	receipt;acceptance;reception (desk);information desk
受け付ける	うけつける	to be accepted;to receive (an application)
受け止める	うけとめる	to catch;to stop the blow;to react to;to take
受け取り	うけとり	receipt
受け取る	うけとる	to receive;to get;to accept;to take;to interpret;to understand
受身	うけみ	passive;passive voice
受け持ち	うけもち	charge (of something);matter in one's charge
受け持つ	うけもつ	to take (be in) charge of
受ける	うける	to undertake;to accept;to take (lesson  test  damage);to undergo;to experience;to catch (e.g. a ball);to become popular
動かす	うごかす	to move;to shift;to set in motion;to operate;to inspire;to rouse;to influence;to mobilize;to deny;to change
動き	うごき	movement;activity;trend;development;change
動く	うごく	to move;to stir;to shift;to shake;to swing;to operate;to run;to go;to work;to be touched;to be influenced;to waver;to fluctuate;to vary;to change;to be transferred
兎	うさぎ	rabbit;hare;cony
牛	うし	cattle;cow
潮	うしお	tide
失う	うしなう	to lose;to part with
氏	うじ	family name
薄い	うすい	thin;weak;watery;diluted
薄暗い	うすぐらい	dim;gloomy
薄める	うすめる	to dilute;to water down
渦	うず	swirl
埋まる	うずまる	to be buried;to be surrounded;to overflow;to be filled
埋める	うずめる	to bury (e.g. one's face in hands)
埋める	うずめる	to bury (e.g. one's face in hands)
嘘	うそ	lie;falsehood;incorrect fact;inappropriate
嘘つき	うそつき	liar (sometimes said with not much seriousness);fibber
歌	うた	song;poetry
歌	うた	song;poetry
歌う	うたう	to sing
疑う	うたがう	to doubt;to distrust;to be suspicious of;to suspect
転寝	うたたね	dozing;napping on the floor (in one's clothes)
家	うち	house (one's own)
内	うち	inside
打ち明ける	うちあける	to be frank;to speak one's mind;to open one's heart
打ち合わせ	うちあわせ	business meeting;previous arrangement;appointment
打ち合わせる	うちあわせる	to knock together;to arrange
打ち切る	うちきる	to stop;to abort;to discontinue;to close
打ち消し	うちけし	negation;denial;negative
打ち消す	うちけす	to deny;to negate;to contradict
打ち込む	うちこむ	to drive in (e.g. nail  stake);to devote oneself to;to shoot into;to smash;to throw into;to cast into
宇宙	うちゅう	universe;cosmos;space
団扇	うちわ	fan
内訳	うちわけ	the items;breakdown;classification
	うっかり	carelessly;thoughtlessly;inadvertently
訴え	うったえ	lawsuit;complaint
訴える	うったえる	to sue (a person);to resort to;to appeal to
鬱陶しい	うっとうしい	gloomy;depressing
打つ	うつ	to hit;to strike
討つ	うつ	to attack;to avenge
撃つ	うつ	to attack;to defeat;to destroy
美しい	うつくしい	beautiful;lovely
写し	うつし	copy;duplicate;facsimile;transcript
移す	うつす	to remove;to transfer;to infect
写す	うつす	to film;to transcribe;to duplicate;to reproduce;to trace;to describe;to picture;to photograph;to imitate
映す	うつす	to project;to reflect;to cast (shadow)
俯く	うつむく	to hang one's head for shame
移る	うつる	to move (house);to be infected;to be contagious;to transfer (department)
写る	うつる	to be photographed;to be projected
映る	うつる	to be reflected;to harmonize with;to come out (photo)
空ろ	うつろ	blank;cavity;hollow;empty (space)
器	うつわ	bowl;vessel;container
器	うつわ	bowl;vessel;container
雨天	うてん	rainy weather
腕	うで	arm
腕前	うでまえ	ability;skill;facility
饂飩	うどん	noodles (Japanese)
促す	うながす	to urge;to press;to suggest;to demand;to stimulate;to quicken;to incite;to invite (attention to)
頷く	うなずく	to nod;to bow one's head in assent
唸る	うなる	to groan;to moan;to roar;to howl;to growl;to hum;to buzz;to sough
自惚れ	うぬぼれ	pretension;conceit;hubris
奪う	うばう	to snatch away
馬	うま	1.  horse; 2.  promoted bishop (shogi)
甘い	うまい	delicious
生まれ	うまれ	birth;birth-place
生まれつき	うまれつき	by nature;by birth;native
生まれる	うまれる	to be born
海	うみ	sea;beach
海	うみ	sea;beach
海路	うみじ	sea route
産む	うむ	to give birth;to deliver;to produce
有無	うむ	yes or no;existence;flag indicator (comp);presence or absence marker
梅	うめ	plum;plum-tree;lowest (of a three-tier ranking system)
埋め込む	うめこむ	to bury
梅干	うめぼし	dried plum
敬う	うやまう	to show respect;to honour
末	うら	top end;tip
裏	うら	reverse side;wrong side;back;undersurface;inside;palm;sole;opposite;rear;lining;last half (of an inning)
末	うら	top end;tip
裏返し	うらがえし	inside out;upside down
裏返す	うらがえす	to turn inside out;to turn the other way;to turn (something) over
裏切る	うらぎる	to betray;to turn traitor to;to double-cross
裏口	うらぐち	backdoor;rear entrance
占う	うらなう	to forecast;to predict
恨み	うらみ	resentment
恨む	うらむ	to curse;to feel bitter
羨ましい	うらやましい	envious;enviable
羨む	うらやむ	to envy
売上	うりあげ	amount sold;proceeds
売り切れ	うりきれ	sold-out
売り切れる	うりきれる	to be sold out
売り出し	うりだし	(bargain) sale
